cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season,cap-diameter,stem-height,stem-width,target
2,10,12,2,4,2,12,0,9,13,2,6,3,5,0,2,4,7.38,11.53,11.33,1
8,4,12,2,2,3,12,0,0,3,0,0,2,3,0,5,4,0.91,2.75,1.36,1
7,2,7,3,3,2,13,0,0,3,0,0,2,3,0,2,4,6.16,6.28,9.6,1
4,4,8,2,4,0,12,6,9,13,2,6,3,7,0,2,2,12.02,16.16,16.61,1
4,10,7,2,8,2,9,0,5,8,0,0,2,3,0,2,2,3.99,7.04,5.1,1
4,12,7,2,7,0,5,0,0,13,0,0,2,3,0,2,2,4.85,4.57,6.56,0
8,0,3,2,0,2,5,0,0,14,0,0,2,3,0,2,2,4.8,3.33,11.78,1
4,10,13,2,0,0,13,0,0,14,0,0,2,3,0,3,2,1.97,7.97,2.92,1
8,0,9,2,0,2,12,0,0,14,0,0,2,3,0,2,2,5.21,3.08,11.34,1
7,12,7,2,2,3,9,0,5,8,0,0,2,3,0,4,2,1.73,3.91,3.03,0
8,0,13,2,4,0,12,2,0,14,2,7,3,4,0,2,4,5.44,5.91,12.22,0
8,4,8,2,4,0,12,6,9,13,2,6,3,7,0,2,4,15.34,17.84,18.79,1
4,0,7,2,4,0,12,0,0,13,2,6,3,2,0,2,4,11.12,11.23,16.45,1
8,9,7,2,3,3,12,0,5,8,0,0,3,0,8,2,5,4.8,6.59,11.04,0
8,9,7,2,6,0,13,0,0,8,0,0,2,3,0,2,5,26.96,5.84,37.43,1
8,0,12,2,3,0,10,0,0,13,0,0,2,3,0,5,4,4.78,6.0,7.29,0
8,2,7,3,3,2,12,0,0,3,0,0,2,3,0,2,2,7.35,8.39,10.05,1
8,12,8,2,2,0,13,5,0,14,0,0,3,8,4,2,5,11.0,9.75,24.03,1
4,5,10,2,0,2,12,0,0,13,2,6,3,7,0,2,2,8.61,11.18,14.57,1
8,12,13,2,2,0,12,0,9,8,0,0,3,8,0,2,4,3.24,6.28,3.6,1
4,8,13,2,8,3,3,0,0,14,0,0,2,3,0,5,2,4.66,5.48,5.06,1
4,10,8,2,2,3,12,0,7,8,0,0,2,3,0,2,5,3.76,5.62,4.88,0
5,0,5,2,5,4,4,0,3,5,0,0,2,3,0,2,4,2.87,3.11,13.09,1
4,8,13,2,8,3,7,0,0,8,0,0,2,3,0,5,4,4.55,6.42,5.04,1
8,4,3,2,2,0,9,0,0,8,0,0,2,3,0,2,4,2.44,6.79,2.37,1
8,11,3,2,8,0,12,5,3,8,0,0,2,3,0,2,4,8.26,14.92,7.95,1
7,2,12,2,3,3,9,0,4,13,0,0,2,3,0,3,4,2.81,2.9,2.08,1
8,0,10,2,2,0,10,0,0,11,0,0,2,3,0,2,4,4.22,6.25,7.33,0
8,4,13,2,0,0,13,0,0,14,0,0,2,3,0,2,4,0.56,3.48,0.69,1
4,10,7,2,3,0,8,0,8,9,0,0,2,3,0,2,2,3.8,6.28,6.56,0
8,6,5,2,2,0,9,0,0,13,0,0,2,3,5,3,2,1.88,3.09,2.32,1
4,9,8,2,2,0,8,0,0,9,0,0,2,3,0,4,2,1.82,2.99,5.33,1
2,12,9,2,4,2,12,0,6,13,0,0,3,2,0,2,2,4.64,4.79,3.75,1
4,0,12,2,8,2,12,5,5,13,0,0,2,3,0,4,2,9.44,10.33,11.41,1
3,4,7,2,2,0,5,0,0,5,0,0,2,3,0,5,2,1.43,4.91,1.52,0
2,4,4,2,2,3,5,0,7,5,0,0,2,3,0,2,5,4.96,4.87,3.89,0
5,12,13,2,6,0,13,0,6,6,0,0,2,3,0,2,3,54.27,7.14,44.18,0
5,0,7,2,0,0,12,0,0,8,0,0,2,3,0,2,4,8.89,4.99,24.14,0
8,0,12,2,4,0,12,2,0,14,2,7,3,4,0,2,4,5.81,6.27,12.38,0
8,0,7,2,8,2,12,2,0,13,0,6,3,0,0,2,3,3.52,7.64,7.38,0
8,2,12,2,7,2,12,0,0,13,0,0,2,3,0,6,3,8.04,7.39,28.47,0
7,10,9,3,3,2,9,0,0,10,0,0,3,3,0,2,4,7.99,7.93,14.95,1
8,0,11,3,8,0,11,6,0,12,0,5,2,3,0,2,2,8.73,10.63,20.34,1
8,10,13,2,2,2,13,0,3,9,0,0,2,3,0,3,4,4.8,6.45,7.87,1
4,12,4,2,7,0,5,0,0,13,0,0,2,3,0,2,2,5.97,4.38,8.0,0
4,2,7,3,3,2,13,0,0,3,0,0,2,3,0,2,2,6.9,6.25,8.68,1
4,2,7,2,8,2,13,2,5,8,0,0,2,3,0,2,4,3.49,4.91,3.34,1
5,10,7,2,0,2,12,4,2,4,0,0,2,3,4,2,4,4.81,0.0,0.0,1
8,12,7,2,0,0,12,2,0,8,0,6,3,2,0,2,5,13.21,7.16,23.92,0
8,12,7,2,4,2,9,0,9,8,0,0,2,3,0,2,2,5.23,4.58,10.27,0
2,9,3,2,4,0,13,0,0,9,0,0,2,3,0,3,4,5.97,8.42,8.49,1
8,5,7,2,8,2,12,0,9,8,0,0,3,8,0,2,5,6.31,6.32,6.55,0
4,2,7,3,3,2,9,0,0,5,0,0,2,3,0,2,2,2.92,3.51,5.45,0
4,12,7,2,0,0,12,6,0,8,0,0,3,6,0,2,4,22.01,27.95,21.54,0
4,8,13,2,8,3,7,0,0,14,0,0,2,3,0,5,4,4.69,6.03,4.66,1
5,7,7,2,0,0,7,0,0,8,0,0,2,3,0,2,3,1.65,3.84,1.45,1
4,5,7,2,0,2,6,0,7,13,0,6,2,3,3,2,4,4.4,6.46,6.5,0
4,9,5,2,2,2,12,0,0,13,0,0,2,3,0,2,2,8.78,5.2,17.25,0
8,0,13,2,8,0,12,0,0,13,0,0,2,3,0,2,4,3.54,5.55,6.37,1
8,7,7,3,6,0,3,3,0,14,0,0,2,3,0,2,4,14.38,9.82,30.66,1
3,4,7,2,2,0,5,0,0,5,0,0,2,3,0,2,2,1.18,4.68,1.31,0
7,0,12,3,3,2,12,0,0,13,0,0,2,3,0,2,4,9.66,4.84,23.91,0
8,5,7,3,6,0,3,3,0,14,0,0,2,3,0,2,4,14.41,9.39,31.53,1
8,10,7,2,7,2,7,0,0,13,0,4,3,9,0,2,4,3.15,6.41,9.62,1
8,2,3,2,2,2,3,0,0,9,0,0,2,3,0,6,2,3.4,4.16,5.49,0
4,0,3,2,8,2,12,0,7,13,0,0,2,3,0,2,4,6.86,4.2,13.37,0
8,9,7,2,7,0,7,0,9,8,0,0,2,3,0,2,2,7.1,5.08,7.49,1
2,12,4,2,0,0,6,0,7,13,0,0,3,9,0,3,5,6.2,9.49,12.05,1
4,4,7,2,2,3,5,0,7,5,0,0,2,3,0,2,5,3.54,4.53,3.45,0
8,3,7,3,6,0,13,3,0,14,0,0,2,3,0,2,4,12.79,8.41,26.12,1
5,9,13,2,5,4,4,4,2,4,0,0,3,3,0,2,4,3.69,0.0,0.0,1
8,10,7,2,2,3,12,0,0,13,0,0,2,3,0,2,2,9.32,8.47,29.12,1
4,10,3,2,8,3,12,2,0,13,0,0,2,3,0,2,2,8.19,5.69,17.01,1
8,2,7,3,6,0,13,0,0,14,0,0,2,3,0,2,4,9.39,7.0,16.31,0
8,5,4,2,7,0,13,0,5,8,0,0,2,3,0,2,4,9.05,5.6,17.25,1
2,12,7,2,0,2,11,6,7,13,0,0,2,3,0,2,4,3.81,6.79,4.55,1
8,12,6,2,7,2,11,0,9,7,0,0,3,2,3,2,4,4.2,5.88,6.89,1
4,12,7,2,0,0,12,6,0,8,0,0,3,6,0,6,4,17.08,24.34,20.04,0
8,2,12,2,3,3,9,0,4,13,0,0,2,3,0,3,2,3.09,3.81,2.62,1
8,3,7,2,3,2,12,6,0,13,0,0,2,3,0,5,2,11.48,5.48,22.79,0
4,12,3,2,7,2,13,0,9,12,0,0,2,3,0,2,2,7.24,7.37,18.02,1
4,0,7,2,3,2,12,2,0,8,0,0,2,3,0,2,2,6.32,5.72,10.52,1
