dataset,feature,feature_type,cardinality
aps_failure,aa_000,numerical,10
aps_failure,ab_000,numerical,1
aps_failure,ac_000,numerical,9
aps_failure,ad_000,numerical,8
aps_failure,ae_000,numerical,1
aps_failure,af_000,numerical,1
aps_failure,ag_000,numerical,1
aps_failure,ag_001,numerical,1
aps_failure,ag_002,numerical,1
aps_failure,ag_003,numerical,3
aps_failure,ag_004,numerical,10
aps_failure,ag_005,numerical,10
aps_failure,ag_006,numerical,10
aps_failure,ag_007,numerical,8
aps_failure,ag_008,numerical,6
aps_failure,ag_009,numerical,4
aps_failure,ah_000,numerical,10
aps_failure,ai_000,numerical,1
aps_failure,aj_000,numerical,3
aps_failure,ak_000,numerical,1
aps_failure,al_000,numerical,4
aps_failure,am_0,numerical,4
aps_failure,an_000,numerical,10
aps_failure,ao_000,numerical,10
aps_failure,ap_000,numerical,10
aps_failure,aq_000,numerical,10
aps_failure,ar_000,numerical,1
aps_failure,as_000,numerical,1
aps_failure,at_000,numerical,2
aps_failure,au_000,numerical,1
aps_failure,av_000,numerical,9
aps_failure,ax_000,numerical,9
aps_failure,ay_000,numerical,1
aps_failure,ay_001,numerical,1
aps_failure,ay_002,numerical,1
aps_failure,ay_003,numerical,1
aps_failure,ay_004,numerical,1
aps_failure,ay_005,numerical,5
aps_failure,ay_006,numerical,8
aps_failure,ay_007,numerical,9
aps_failure,ay_008,numerical,10
aps_failure,ay_009,numerical,1
aps_failure,az_000,numerical,10
aps_failure,az_001,numerical,10
aps_failure,az_002,numerical,10
aps_failure,az_003,numerical,10
aps_failure,az_004,numerical,10
aps_failure,az_005,numerical,10
aps_failure,az_006,numerical,9
aps_failure,az_007,numerical,3
aps_failure,az_008,numerical,1
aps_failure,az_009,numerical,1
aps_failure,ba_000,numerical,10
aps_failure,ba_001,numerical,10
aps_failure,ba_002,numerical,10
aps_failure,ba_003,numerical,10
aps_failure,ba_004,numerical,10
aps_failure,ba_005,numerical,10
aps_failure,ba_006,numerical,10
aps_failure,ba_007,numerical,9
aps_failure,ba_008,numerical,6
aps_failure,ba_009,numerical,4
aps_failure,bb_000,numerical,10
aps_failure,bc_000,numerical,7
aps_failure,bd_000,numerical,10
aps_failure,be_000,numerical,9
aps_failure,bf_000,numerical,6
aps_failure,bg_000,numerical,10
aps_failure,bh_000,numerical,10
aps_failure,bi_000,numerical,10
aps_failure,bj_000,numerical,10
aps_failure,bk_000,numerical,8
aps_failure,bl_000,numerical,6
aps_failure,bm_000,numerical,4
aps_failure,bn_000,numerical,4
aps_failure,bo_000,numerical,4
aps_failure,bp_000,numerical,4
aps_failure,bq_000,numerical,2
aps_failure,br_000,numerical,2
aps_failure,bs_000,numerical,10
aps_failure,bt_000,numerical,10
aps_failure,bu_000,numerical,10
aps_failure,bv_000,numerical,10
aps_failure,bx_000,numerical,10
aps_failure,by_000,numerical,10
aps_failure,bz_000,numerical,8
aps_failure,ca_000,numerical,10
aps_failure,cb_000,numerical,10
aps_failure,cc_000,numerical,10
aps_failure,cd_000,numerical,1
aps_failure,ce_000,numerical,9
aps_failure,cf_000,numerical,3
aps_failure,cg_000,numerical,8
aps_failure,ch_000,numerical,1
aps_failure,ci_000,numerical,10
aps_failure,cj_000,numerical,3
aps_failure,ck_000,numerical,10
aps_failure,cl_000,numerical,3
aps_failure,cm_000,numerical,6
aps_failure,cn_000,numerical,1
aps_failure,cn_001,numerical,2
aps_failure,cn_002,numerical,5
aps_failure,cn_003,numerical,10
aps_failure,cn_004,numerical,10
aps_failure,cn_005,numerical,10
aps_failure,cn_006,numerical,10
aps_failure,cn_007,numerical,9
aps_failure,cn_008,numerical,8
aps_failure,cn_009,numerical,6
aps_failure,co_000,numerical,6
aps_failure,cp_000,numerical,9
aps_failure,cq_000,numerical,10
aps_failure,cr_000,numerical,1
aps_failure,cs_000,numerical,10
aps_failure,cs_001,numerical,10
aps_failure,cs_002,numerical,10
aps_failure,cs_003,numerical,10
aps_failure,cs_004,numerical,10
aps_failure,cs_005,numerical,10
aps_failure,cs_006,numerical,10
aps_failure,cs_007,numerical,10
aps_failure,cs_008,numerical,8
aps_failure,cs_009,numerical,1
aps_failure,ct_000,numerical,8
aps_failure,cu_000,numerical,8
aps_failure,cv_000,numerical,8
aps_failure,cx_000,numerical,8
aps_failure,cy_000,numerical,2
aps_failure,cz_000,numerical,7
aps_failure,da_000,numerical,1
aps_failure,db_000,numerical,4
aps_failure,dc_000,numerical,8
aps_failure,dd_000,numerical,10
aps_failure,de_000,numerical,10
aps_failure,df_000,numerical,1
aps_failure,dg_000,numerical,1
aps_failure,dh_000,numerical,2
aps_failure,di_000,numerical,2
aps_failure,dj_000,numerical,1
aps_failure,dk_000,numerical,1
aps_failure,dl_000,numerical,1
aps_failure,dm_000,numerical,1
aps_failure,dn_000,numerical,10
aps_failure,do_000,numerical,8
aps_failure,dp_000,numerical,8
aps_failure,dq_000,numerical,3
aps_failure,dr_000,numerical,3
aps_failure,ds_000,numerical,10
aps_failure,dt_000,numerical,10
aps_failure,du_000,numerical,10
aps_failure,dv_000,numerical,10
aps_failure,dx_000,numerical,3
aps_failure,dy_000,numerical,4
aps_failure,dz_000,numerical,1
aps_failure,ea_000,numerical,1
aps_failure,eb_000,numerical,7
aps_failure,ec_00,numerical,10
aps_failure,ed_000,numerical,10
aps_failure,ee_000,numerical,10
aps_failure,ee_001,numerical,10
aps_failure,ee_002,numerical,10
aps_failure,ee_003,numerical,10
aps_failure,ee_004,numerical,10
aps_failure,ee_005,numerical,10
aps_failure,ee_006,numerical,10
aps_failure,ee_007,numerical,9
aps_failure,ee_008,numerical,8
aps_failure,ee_009,numerical,5
aps_failure,ef_000,numerical,1
aps_failure,eg_000,numerical,1
asia_lung,A,categorical,2
asia_lung,S,categorical,2
asia_lung,T,categorical,2
asia_lung,B,categorical,2
asia_lung,E,categorical,2
asia_lung,X,categorical,2
asia_lung,D,categorical,2
balance_scale,left_weight,numerical,5
balance_scale,left_distance,numerical,5
balance_scale,right_weight,numerical,5
balance_scale,right_distance,numerical,5
car_evaluation,buying,categorical,4
car_evaluation,maint,categorical,4
car_evaluation,doors,categorical,4
car_evaluation,persons,categorical,3
car_evaluation,lug_boot,categorical,3
car_evaluation,safety,categorical,3
census_income_kdd,class_of_worker,categorical,9
census_income_kdd,industry_code,categorical,52
census_income_kdd,occupation_code,categorical,47
census_income_kdd,education,categorical,17
census_income_kdd,enrolled_in_education,categorical,3
census_income_kdd,marital_status,categorical,7
census_income_kdd,major_industry_code,categorical,24
census_income_kdd,major_occupation_code,categorical,15
census_income_kdd,race,categorical,5
census_income_kdd,hispanic_origin,categorical,9
census_income_kdd,sex,categorical,2
census_income_kdd,member_of_labor_union,categorical,3
census_income_kdd,reason_for_unemployment,categorical,6
census_income_kdd,employment_status,categorical,8
census_income_kdd,tax_filer_status,categorical,6
census_income_kdd,previous_residence_region,categorical,6
census_income_kdd,previous_residence_state,categorical,50
census_income_kdd,household_family_stat,categorical,38
census_income_kdd,household_summary,categorical,8
census_income_kdd,migration_msa,categorical,9
census_income_kdd,migration_reg,categorical,8
census_income_kdd,migration_within_reg,categorical,9
census_income_kdd,same_house_one_year_ago,categorical,3
census_income_kdd,previous_residence_sunbelt,categorical,3
census_income_kdd,family_members_under_18,categorical,5
census_income_kdd,country_of_birth_father,categorical,42
census_income_kdd,country_of_birth_mother,categorical,42
census_income_kdd,country_of_birth_self,categorical,42
census_income_kdd,citizenship,categorical,5
census_income_kdd,own_business_or_self_employed,categorical,3
census_income_kdd,veterans_questionnaire,categorical,3
census_income_kdd,veterans_benefits,categorical,3
census_income_kdd,age,numerical,10
census_income_kdd,wage_per_hour,numerical,1
census_income_kdd,capital_gains,numerical,1
census_income_kdd,capital_losses,numerical,1
census_income_kdd,dividends_from_stocks,numerical,2
census_income_kdd,num_persons_worked_for_employer,numerical,3
census_income_kdd,weeks_worked_in_year,numerical,3
census_income_kdd,year,numerical,1
cleveland,sex,categorical,2
cleveland,cp,categorical,4
cleveland,fbs,categorical,2
cleveland,restecg,categorical,3
cleveland,exang,categorical,2
cleveland,slope,categorical,3
cleveland,thal,categorical,4
conf_ad,uni,categorical,7
conf_ad,tshirtSize,categorical,6
conf_ad,favSubject,categorical,3
conf_ad,wegan,categorical,2
conf_ad,participation,categorical,2
conf_ad,regDateCat,categorical,5
connect_4,a1,categorical,3
connect_4,a2,categorical,3
connect_4,a3,categorical,3
connect_4,a4,categorical,3
connect_4,a5,categorical,3
connect_4,a6,categorical,3
connect_4,b1,categorical,3
connect_4,b2,categorical,3
connect_4,b3,categorical,3
connect_4,b4,categorical,3
connect_4,b5,categorical,3
connect_4,b6,categorical,3
connect_4,c1,categorical,3
connect_4,c2,categorical,3
connect_4,c3,categorical,3
connect_4,c4,categorical,3
connect_4,c5,categorical,3
connect_4,c6,categorical,3
connect_4,d1,categorical,3
connect_4,d2,categorical,3
connect_4,d3,categorical,3
connect_4,d4,categorical,3
connect_4,d5,categorical,3
connect_4,d6,categorical,3
connect_4,e1,categorical,3
connect_4,e2,categorical,3
connect_4,e3,categorical,3
connect_4,e4,categorical,3
connect_4,e5,categorical,3
connect_4,e6,categorical,3
connect_4,f1,categorical,3
connect_4,f2,categorical,3
connect_4,f3,categorical,3
connect_4,f4,categorical,3
connect_4,f5,categorical,3
connect_4,f6,categorical,3
connect_4,g1,categorical,3
connect_4,g2,categorical,3
connect_4,g3,categorical,3
connect_4,g4,categorical,3
connect_4,g5,categorical,3
connect_4,g6,categorical,3
coronary,Smoking,categorical,2
coronary,M._Work,categorical,2
coronary,P._Work,categorical,2
coronary,Pressure,categorical,2
coronary,Proteins,categorical,2
credit_approval,A1,categorical,2
credit_approval,A4,categorical,3
credit_approval,A5,categorical,3
credit_approval,A6,categorical,14
credit_approval,A7,categorical,9
credit_approval,A9,categorical,2
credit_approval,A10,categorical,2
credit_approval,A12,categorical,2
credit_approval,A13,categorical,3
credit_approval,A2,numerical,10
credit_approval,A3,numerical,10
credit_approval,A8,numerical,9
credit_approval,A11,numerical,5
credit_approval,A14,numerical,9
credit_approval,A15,numerical,6
dmft,DMFT.Begin,categorical,9
dmft,DMFT.End,categorical,7
dmft,Gender,categorical,2
dmft,Ethnic,categorical,3
german_gss,Political_system,categorical,4
german_gss,Age,categorical,5
german_gss,Time_of_survey,categorical,2
german_gss,Schooling,categorical,5
german_gss,Region,categorical,2
hayesroth,hobby,categorical,3
hayesroth,age,categorical,4
hayesroth,educational_level,categorical,4
hayesroth,marital_status,categorical,4
house_votes_84,handicapped_infants,categorical,2
house_votes_84,water_project_cost_sharing,categorical,2
house_votes_84,adoption_of_the_budget_resolution,categorical,2
house_votes_84,physician_fee_freeze,categorical,2
house_votes_84,el_salvador_aid,categorical,2
house_votes_84,religious_groups_in_schools,categorical,2
house_votes_84,anti_satellite_test_ban,categorical,2
house_votes_84,aid_to_nicaraguan_contras,categorical,2
house_votes_84,mx_missile,categorical,2
house_votes_84,immigration,categorical,2
house_votes_84,synfuels_corporation_cutback,categorical,2
house_votes_84,education_spending,categorical,2
house_votes_84,superfund_right_to_sue,categorical,2
house_votes_84,crime,categorical,2
house_votes_84,duty_free_exports,categorical,2
house_votes_84,export_administration_act_south_africa,categorical,2
krkopt,white_king_file,categorical,4
krkopt,white_king_rank,categorical,4
krkopt,white_rook_file,categorical,8
krkopt,white_rook_rank,categorical,8
krkopt,black_king_file,categorical,8
krkopt,black_king_rank,categorical,8
led7,attribute#1,categorical,2
led7,attribute#2,categorical,2
led7,attribute#3,categorical,2
led7,attribute#4,categorical,2
led7,attribute#5,categorical,2
led7,attribute#6,categorical,2
led7,attribute#7,categorical,2
mofn,Bit_0,categorical,2
mofn,Bit_1,categorical,2
mofn,Bit_2,categorical,2
mofn,Bit_3,categorical,2
mofn,Bit_4,categorical,2
mofn,Bit_5,categorical,2
mofn,Bit_6,categorical,2
mofn,Bit_7,categorical,2
mofn,Bit_8,categorical,2
mofn,Bit_9,categorical,2
nursery,parents,categorical,3
nursery,has_nurs,categorical,5
nursery,form,categorical,4
nursery,children,categorical,4
nursery,housing,categorical,3
nursery,finance,categorical,2
nursery,social,categorical,3
nursery,health,categorical,3
parity5p5,Bit_1,categorical,2
parity5p5,Bit_2,categorical,2
parity5p5,Bit_3,categorical,2
